data-itemid,data-product-name,data-variant,data-category,data-brand,data-price,data-dimension9,data-dimension,data-metric2,item-link,item-image-link
1R253S0401C12472804,Webster,Natur,shoes-ankleboots,Casadei,650,SS2022,FP,221,https://www.casadei.com/en/shoes/ankle-boots/webster-natur-1R253S0401C12472804.html,https://www.casadei.com/dw/image/v2/AAGA_PRD/on/demandware.static/-/Sites-05/default/dwb1d8754d/images/zoom/1R253S0401C1247_2804_3.jpg?sw=804&sh=1200&sm=fit
1R253S0401C12479999,Webster,White,shoes-ankleboots,Casadei,650,SS2022,FP,221,https://www.casadei.com/en/shoes/ankle-boots/webster-white-1R253S0401C12479999.html,https://www.casadei.com/dw/image/v2/AAGA_PRD/on/demandware.static/-/Sites-05/default/dw91e3c2f4/images/zoom/1R253S0401C1247_9999_3.jpg?sw=804&sh=1200&sm=fit
1R627L1401T00053401,Flora,Sandstone,shoes-platforms,Casadei,930,FW2021,FP,298,https://www.casadei.com/en/shoes/platforms/flora-sandstone-1R627L1401T00053401.html,https://www.casadei.com/dw/image/v2/AAGA_PRD/on/demandware.static/-/Sites-05/default/dw26b6719b/images/zoom/1R627L1401T0005_3401_3.jpg?sw=804&sh=1200&sm=fit
1R627L1401T00059000,Polacco Camoscio,Black,shoes-platforms,Casadei,930,FW2019,FP,267,https://www.casadei.com/en/shoes/platforms/flora-black-1R627L1401T00059000.html,https://www.casadei.com/dw/image/v2/AAGA_PRD/on/demandware.static/-/Sites-05/default/dwb2f4c285/images/zoom/1R627L1401T0005_9000_3.jpg?sw=804&sh=1200&sm=fit
1R627L1401T00533113,Flora,Toffee,carryover,Casadei,1050,FW2020,FP,356,https://www.casadei.com/en/ca-carryover/flora-toffee-1R627L1401T00533113.html,https://www.casadei.com/dw/image/v2/AAGA_PRD/on/demandware.static/-/Sites-05/default/dwbc624376/images/zoom/1R627L1401T0053_3113_3.jpg?sw=804&sh=1200&sm=fit
1R665E120HHCAMO3608,Blade,Cyber Red,shoes-ankleboots,Casadei,935,FW2020,FP,315,https://www.casadei.com/en/shoes/ankle-boots/blade-cyber-red-1R665E120HHCAMO3608.html,https://www.casadei.com/dw/image/v2/AAGA_PRD/on/demandware.static/-/Sites-05/default/dw6000e938/images/zoom/1R665E120HHCAMO_3608_3.jpg?sw=804&sh=1200&sm=fit
1R665E120HHCAMO9000,Blade,Black,shoes-ankleboots,Casadei,935,FW2020,FP,315,https://www.casadei.com/en/shoes/ankle-boots/blade-black-1R665E120HHCAMO9000.html,https://www.casadei.com/dw/image/v2/AAGA_PRD/on/demandware.static/-/Sites-05/default/dw3e6a1a95/images/zoom/1R665E120HHCAMO_9000_3.jpg?sw=804&sh=1200&sm=fit
1S218T160GLOVEC9000,Rock,Black,shoes-platforms,Casadei,1420,FW2021,FP,481,https://www.casadei.com/en/shoes/platforms/rock-black-1S218T160GLOVEC9000.html,https://www.casadei.com/dw/image/v2/AAGA_PRD/on/demandware.static/-/Sites-05/default/dwdbfeb416/images/zoom/1S218T160GLOVEC_9000_3.jpg?sw=804&sh=1200&sm=fit
1T000D125HHCAMO2616,Blade,Rodeo,shoes-highboots,Casadei,1345,FW2021,FP,456,https://www.casadei.com/en/shoes/high-boots/blade-rodeo-1T000D125HHCAMO2616.html,https://www.casadei.com/dw/image/v2/AAGA_PRD/on/demandware.static/-/Sites-05/default/dwd03f55ba/images/zoom/1T000D125HHCAMO_2616_3.jpg?sw=804&sh=1200&sm=fit
1T000D125HHCAMO3114,Blade,Chic,shoes-highboots,Casadei,1345,FW2021,FP,456,https://www.casadei.com/en/shoes/high-boots/blade-chic-1T000D125HHCAMO3114.html,https://www.casadei.com/dw/image/v2/AAGA_PRD/on/demandware.static/-/Sites-05/default/dwe9fb7155/images/zoom/1T000D125HHCAMO_3114_3.jpg?sw=804&sh=1200&sm=fit
1T000D125HHCAMO3401,Blade,Sandstone,shoes-highboots,Casadei,1345,FW2020,FP,456,https://www.casadei.com/en/shoes/high-boots/blade-sandstone-1T000D125HHCAMO3401.html,https://www.casadei.com/dw/image/v2/AAGA_PRD/on/demandware.static/-/Sites-05/default/dw320e41a8/images/zoom/1T000D125HHCAMO_3401_3.jpg?sw=804&sh=1200&sm=fit
1T000D125HHCAMO9000,Blade,Black,shoes-highboots,Casadei,1345,FW2019,FP,442,https://www.casadei.com/en/shoes/high-boots/blade-black-1T000D125HHCAMO9000.html,https://www.casadei.com/dw/image/v2/AAGA_PRD/on/demandware.static/-/Sites-05/default/dw16b0fbfa/images/zoom/1T000D125HHCAMO_9000_3.jpg?sw=804&sh=1200&sm=fit
